"主题","回复用户","回复内容"
"现在职业队的工资是多少呀","第三章卅","引用34楼 @mifengaaa 发表的:你朋友可能被传销了吧 "
"现在职业队的工资是多少呀","往事秋刀鱼","青训不可能这么多的，17 ifty 4am一队工资一个月才这个数"
"现在职业队的工资是多少呀","Devil_chen","引用34楼 @mifengaaa 发表的:你朋友可能被传销了吧 蜂仔这几天很活跃，哈哈……什么时候再来好声音啊……发自虎扑iPhone客户端"
"现在职业队的工资是多少呀","aresuuuuu","这明显是在钓鱼，想打探职业队员工资的。 这人估计是A总所说的一些黑心中介和杂牌俱乐部的人"
"现在职业队的工资是多少呀","槑君王","青训怎么可能一个月几万 做梦的吧。。"
"现在职业队的工资是多少呀","孤存的大哥","我觉得打职业的心态很重要，不能太波动，像孤存真的非常合适打职业。关键时候不会慌。每次看4AM比赛，只要猪头和存存没了，我就觉得基本上完了。相反，只要猪头和存存有一个在，我觉得这盘还有希望。"
"现在职业队的工资是多少呀","一直巅峰丶轩子","引用34楼 @mifengaaa 发表的:你朋友可能被传销了吧 峰哥好声音那个空白是放录音的，你知道了吗发自虎扑Android客户端"
"现在职业队的工资是多少呀","空岩啸","引用34楼 @mifengaaa 发表的:你朋友可能被传销了吧 哈哈，蜂哥也在啊。顺便给大家科普下行业薪水呗~免得有些小朋友不知深浅，误入歧途"
"现在职业队的工资是多少呀","浣熊好激情","引用2楼 @往事秋刀鱼 发表的:青训不可能这么多的，17 ifty 4am一队工资一个月才这个数撸哥年薪百万发自虎扑Android客户端"
"[流言板]PCPI中国邀请赛主持人兜兜发文：虎扑的战队巡礼对我帮助很大","见鬼说鬼话","兜兜是真滴漂亮啊发自虎扑Android客户端"
"这个战绩能不能进一线职业队","前面阳光正面照过来","如果这是500场战绩，那你的身价就是500w发自虎扑Android客户端"
"[流言板]PCPI中国邀请赛主持人兜兜发文：虎扑的战队巡礼对我帮助很大","露露露露噜啊噜","很早以前就非常喜欢你了😘发自虎扑iPhone客户端"
"[流言板]PCPI中国邀请赛主持人兜兜发文：虎扑的战队巡礼对我帮助很大","去年夏天天天天","长得辣么好看，说话又好听，完了发自虎扑iPhone客户端"
"[流言板]PCPI中国邀请赛主持人兜兜发文：虎扑的战队巡礼对我帮助很大","JoeyZhang159210","兜兜 我心中的女神"
"[流言板]PCPI中国邀请赛主持人兜兜发文：虎扑的战队巡礼对我帮助很大","嘤嘤嘤投酱"," 很棒的主持 看得出来应该对吃鸡这款游戏了解没有太多 但是面对各个队伍选手的时候都能恰到好处的问出问题 玩梗 真的很用心发自虎扑iPhone客户端"
"[流言板]PCPI中国邀请赛主持人兜兜发文：虎扑的战队巡礼对我帮助很大","文十","小改改的采访又长又直"
